name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
HiYA,Ray Lozano,HiYA,2024-11-07,35,178063,False,https://p.scdn.co/mp3-preview/6ac85040481bea84443cfe13fd5ec70ed64d064d?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0EszgYPRpVpz4pVaXttpiJ,0EszgYPRpVpz4pVaXttpiJ,0.701,0.627,7,-7.141,0,0.0864,0.453,0.103,0.211,0.749,139.915,4
Tokyo Honeymoon,"George Reid, AlunaGeorge",0-6M,2024-11-08,32,240091,False,https://p.scdn.co/mp3-preview/098b00273a56075f278d637ffd780bf924bb8d94?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/05kBxIZ5mHlZxoUYzOpy2d,05kBxIZ5mHlZxoUYzOpy2d,0.577,0.949,0,-6.88,0,0.0979,0.0215,0.333,0.087,0.357,134.012,4
Glow,Livingston,Glow,2024-11-08,49,187077,False,,https://open.spotify.com/track/6XaRzGJgCgh7XHl5vnYbEW,6XaRzGJgCgh7XHl5vnYbEW,0.497,0.893,1,-3.081,1,0.214,0.0784,0.0,0.16,0.374,172.171,4
Sports Day,Man/Woman/Chainsaw,Eazy Peazy,2024-11-08,29,150035,True,https://p.scdn.co/mp3-preview/174bffeb0edc22c9d172094be19c2ecc667747f5?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6hKwzsBblYMfifCLTp5Gn4,6hKwzsBblYMfifCLTp5Gn4,0.479,0.581,4,-9.108,0,0.0374,0.00861,0.0208,0.332,0.647,120.646,4
Ego Maniacs,"Ice Cube, Busta Rhymes, Killer Mike",Ego Maniacs,2024-11-08,47,218111,True,https://p.scdn.co/mp3-preview/6acc10cffbf2369a70769c694a92cc6bbf84e2ca?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/55qnnjyxq5LuXq6WyZd9Er,55qnnjyxq5LuXq6WyZd9Er,0.812,0.875,1,-3.454,1,0.219,0.0461,0.0,0.469,0.747,94.963,4
Piece Of Cake,Freak Slug,I Blow Out Big Candles,2024-11-08,31,196000,False,https://p.scdn.co/mp3-preview/a3a7e4c110728547d7d48ab7ef49ed452def5ae3?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2bV5gCcpUl5HkRaQOz6pik,2bV5gCcpUl5HkRaQOz6pik,0.71,0.836,2,-6.947,1,0.0271,0.259,0.00618,0.181,0.515,120.013,4
SALTY,Sara James,PLAYHOUSE,2024-11-07,42,191346,False,,https://open.spotify.com/track/3dzLIfyygjAMlm0f8rN7GQ,3dzLIfyygjAMlm0f8rN7GQ,0.719,0.663,9,-4.798,0,0.0303,0.152,0.0,0.275,0.554,104.038,4
Misleading,Josh Baker,Misleading,2024-11-08,40,187365,False,https://p.scdn.co/mp3-preview/abc07f0cb6852432085184d2e060299cf8a23fd5?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6yozk84rHLypCWk50d5mTE,6yozk84rHLypCWk50d5mTE,0.792,0.809,7,-7.789,1,0.0449,0.104,0.513,0.0794,0.536,127.031,4
Don't Cry,Nia Smith,Give Up The Fear,2024-11-08,32,196680,True,,https://open.spotify.com/track/6gAfcLmswaho2aqeKmoFS1,6gAfcLmswaho2aqeKmoFS1,0.48,0.672,9,-5.299,0,0.0606,0.191,0.0,0.274,0.583,94.869,4
Jwett,Skilla Baby,Jwett,2024-11-08,33,164606,True,,https://open.spotify.com/track/6kEMoHRKZWc0JZKLijIjVh,6kEMoHRKZWc0JZKLijIjVh,0.759,0.441,1,-6.467,1,0.259,0.0482,0.0,0.131,0.322,88.644,4
All The Way,SahBabii,Saaheem,2024-11-08,44,156444,True,https://p.scdn.co/mp3-preview/df4930655fbb423809e3c8ef3d85e78ea19c4127?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5kKMiBXBzvK75J8nyETELV,5kKMiBXBzvK75J8nyETELV,0.918,0.547,8,-4.947,1,0.168,0.169,0.0,0.0925,0.435,135.027,4
SPJ,Matt Champion,SPJ,2024-11-06,40,210308,False,https://p.scdn.co/mp3-preview/65f00ff8dea8729612786a415fc53b1a1b3b24ae?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0DcUSjMBZFzqy37knKFm0m,0DcUSjMBZFzqy37knKFm0m,0.748,0.34,7,-11.447,1,0.0435,0.173,0.00215,0.131,0.405,115.91,4
Red White and Blue,Remy Bond,Red White and Blue,2024-11-08,35,234362,False,https://p.scdn.co/mp3-preview/cb7a72dac9fe3265a54ab17fd00f942e529e5fef?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6HZpO5sszbG3zZZSj62Pgt,6HZpO5sszbG3zZZSj62Pgt,0.413,0.491,8,-8.979,1,0.0282,0.755,0.0342,0.125,0.329,72.06,4
Love You Back,Halle Kearns,Love You Back,2024-11-08,33,170600,False,https://p.scdn.co/mp3-preview/fb11c0241b575e9f36472654d034fef9e5f72651?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5NknJEYLIjzQvoER6qLAuo,5NknJEYLIjzQvoER6qLAuo,0.61,0.725,11,-4.024,1,0.0291,0.244,0.0,0.122,0.604,130.007,4
Feelings Never Die,Eric Bellinger,Feelings Never Die,2024-11-08,34,222250,False,https://p.scdn.co/mp3-preview/52e604b80e77c45126c9f9a8493d0a9e4bdfb5d4?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/3rkuBuf0QhxlSLzvzrjVTU,3rkuBuf0QhxlSLzvzrjVTU,0.72,0.687,1,-7.323,0,0.0669,0.0248,2.43e-06,0.107,0.337,103.95,4
